question,current_answer,evidence,vulnerability,needed_followup
"왜 28개 클래스인가?","가이드 v2의 1~28을 기계적으로 변환했기 때문","schemas/classes_v2.py; DEC-001","6개 unit UNKNOWN이라 모두 operationally labelable하다는 답은 불가","명시적 포함/제외 결정"
"왜 일부는 정본이고 일부는 reference인가?","P1/P3/P4는 계보·승계 검증이 있고 P6/P9는 참고 등급","DEC-011; label_source_inventory.csv","reference의 recall·semantic quality 독립 검증 부족","source별 QA grade와 승격 기준"
"Kappa 0.902면 정말 좋은가?","matched box의 class agreement baseline일 뿐","agreement_2026-09-01.csv; certification README","Skip/unmatched box와 P9 편중 제외","5인 v2 및 전체 coverage metrics"
"누수가 0이라는 근거가 있는가?","현재 cluster가 split을 가로지른 건 0","split_leakage.csv","near-threshold SAME/NEAR 위험은 남음","보수적 holdout과 민감도 보고"
"20% 위험이면 왜 현재 split을 유지했나?","대안이 분포를 붕괴해 현행을 유지","oq016/RESULT.md; split_constraint_sim/RESULT.md","유지 결정은 leakage가 없다는 뜻이 아님","residual-risk를 모델 결과에 병기"
"4,158 bbox를 왜 믿는가?","duplicate 20쌍 판정 후 유지된 승계 라벨","DEC-016/017/022; quarantine CSV","recall·semantic·boundary 전수 검증 없음","blind audit sample"
"라벨러 기준이 사람마다 다른데 어떻게 해결했나?","v2에서 반 공개·scope·Skip taxonomy를 보강","annotator_guide_v2.md","5인 v2 결과와 final approval 없음","D/E 포함 재시험"
"왜 0.003인가?","일부 접촉부 candidate 분포가 그 주변","bounding_box_boundary_spec.md; NQ-12","3인에서 분포 폭이 확대됐고 공식 threshold 아님","정책 threshold와 탐색값 분리"
"왜 RGB를 사용하지 않았나?","IR을 주 라벨 대상으로 하고 RGB는 일부 pair만 있음","DEC-005; panel_inventory.csv","IR1과 정본 라벨이 강하게 편중","RGB의 역할과 subset 평가 명시"
"IR2/IR3 온도 데이터는 어떻게 하나?","표본상 IR1만 APP1 온도 추출 성공","flir_compat.md/csv","300장 표본이지 전수 방사 데이터 검증 아님","모델 입력 정책 전 확정"
"VCB 접촉부는 그리는가?","현재 코드상 deployable이지만 생성 CSV/seed는 UNKNOWN·비배포","class_v2.py vs class_evidence.csv/seed_policy.json","버전 불일치가 배포를 차단","전체 artifact 재생성 및 lock"
"C-1 0.50%는 무엇인가?","확정 오류와 시험 지적을 4,177에 합친 단일 시점 값","certification/evidence.csv","annotation/duplicate/audit-detected error가 혼합","C-1 정의와 분모 재작성"
"C-2 기준 0.8은 왜인가?","프로젝트 pipeline 문서의 자체 목표치로 보임","certification/README.md","threshold rationale NOT_EVIDENCED","외부 근거 또는 내부 operating criterion"
"5인 독립 adjudication을 했나?","A/B/C 3인 시험은 있으나 5인 adjudication은 NOT_EVIDENCED","review_log.csv; trial reports","C-4 서명 5/5는 5인 라벨러 agreement가 아님","reviewer role 분리"
