step,name,status,artifact,note
STEP 01,저장소·데이터 구조 조사,완료,data/metadata/image_inventory.csv,109359행. P1 하위폴더 41323장 발견으로 최초 집계 정정
STEP 02,반 인벤토리 생성,완료,reports/data_audit/panel_inventory.csv,현존 10개 반 + 삭제 3개 반 기록
STEP 03,기존 클래스 인벤토리 생성,완료,reports/data_audit/label_source_inventory.csv,소스 13개 조사. 정본 3개 판정
STEP 04,v2 28개 클래스 스키마 작성,완료,schemas/classes_v2.py,class_id = 가이드번호-1
STEP 05,26→28 변환표 작성,완료,schemas/class_migration_26_to_28.csv,renamed 3 status 4 same 18 split 1 new 1
STEP 06,제외/Ignore 규칙 코드·문서 반영,완료,schemas/labeling_rules.py,DEC-004 · 잘림 기준 구체화는 DEC-007
STEP 07,기존 bbox 승계 검증,완료,reports/data_audit/migration_verification.csv,4177 → 4177 손실 0 보류 0
STEP 08,중복·유사도 분석,완료,data/dedup/dedup_metadata.csv,106685 → 38957 (63.5% 축소). 1차 과병합 실패 후 리더 방식으로 재실행 (DEC-008)
STEP 09,실질 라벨링 물량 산정,완료,reports/data_audit/dedup_summary.csv,독립 이미지 38957장 확정. 클러스터가 분할 최소 단위
STEP 10,시드 후보 선정,완료,data/labeling/seed/seed_candidates.csv,400장 선정. 클래스 수요 역산 배분으로 P1 비중 40.4%->7.5%. 라벨대상 25종 전원 커버 (DEC-010)
