id,question,current_answer,evidence,weakness,supplement_needed
PQ-01,왜 21종을 추가 검증해야 하는가,(초판 감사 권고) 25종 중 3인 전원이 그린 것이 4종뿐이므로 나머지를 2차 시험에서 확인한다,감사자 실측 3인 박스 집계 · agreement_2026-09-01.csv · trial_provenance.csv,"이 질문에는 '21종을 같은 위험으로 다루는 것이 틀렸다'가 정답이다. 실측하면 12종은 CONFIRMED_PRESENT(정본 또는 참고에 박스 실재), 5종은 LIKELY_PRESENT(시험에서 1~2명이 실제로 그림 — 한류형퓨즈 B15·몰드PT A3/B8·CT A2/C2·LA C3·SA A3), 존재 미확인은 LBS 1종뿐이다. 21종 전수 사전 검증은 과잉이며 일정만 늘린다",필요 — 2차 시험 우선순위를 존재 등급별로 3분할(존재미확인 1종 최우선 / LIKELY 5종 차순위 / CONFIRMED 8종은 일치도만)
PQ-02,400장 seed 전에 모든 클래스를 봐야 하는가,아니다. 존재 미확인 1종과 그리기 금지 7종만 사전 처리하면 되고 나머지는 400장과 병행해 일치도를 잰다,감사자 등급표(정본·참고·3인시험·참조카드 4소스 집계) · seed_allocation.csv 반별 노출 장수,그러나 400장에 각 클래스가 몇 개 들어 있는지 아무도 모른다. seed_candidates.csv 의 target_classes 는 반별 고유값이 1종류 — 반 후보 목록을 모든 이미지에 복사한 값이며 이미지 단위 정보가 0이다. seed_select.farthest_point() 는 임베딩 코사인만 쓰고 클래스 신호를 입력받지 않는다. 라벨대상 25종 전원 커버(DEC-010)는 반 수준 설계 의도이지 이미지 수준 검증이 아니다,필요 — 반당 5~10장 육안 사전 확인(반나절)으로 C-3 달성 가능성을 사전 파악
PQ-03,"기존 4,158 bbox 를 왜 정본으로 쓰는가",26→28 승계 손실 0 · 제외/반후보 클래스 위반 0 · 같은 클래스 중복 20쌍 전수 판정(오탐 0) 후 19박스 제외,"DEC-003 · DEC-016 · DEC-022 · migration_verification.csv · 감사자 재계수 4,177/1,036파일 일치","가장 취약하다. 감사 6규칙이 전부 좌표 기반이고 DEC-016 스스로 의미 일치는 자동 판정하지 않았다, WHOLE_OBJECT 는 NOT_AUDITABLE, 잘림 1,207건 UNDETERMINABLE 이라 적었다. 누락(false negative) 검사 항목은 아예 없다. 독립 라벨러와 대조된 canonical 은 시험 전체에서 1장뿐이고 그 1장에서 A 는 40% 적게 그렸다. OQ-009 열림",필수 — 정제된 ground truth 를 규칙 위반이 제거된 승계 라벨(의미·경계·누락 미검증)로 하향하고 층화 표본 재라벨링으로 recall 최초 정량화
PQ-04,Kappa 0.856 인데 왜 count agreement 는 53% 인가,두 지표의 분모가 다르다. Kappa 는 양쪽이 같은 자리에 그린 90쌍이 분모이고 count 는 한쪽이라도 그린 (이미지×클래스) 조합 전부가 분모다,agreement.py greedy_match(IoU>=0.5) · kappa(cls_pairs) 구현 · agreement_2026-09-01.csv,이 조합이 뜻하는 바를 저장소가 명시적으로 결론짓지 않았다. 정확한 해석은 '알아본 물체의 이름은 일치하나 무엇을 그릴지가 절반 갈린다'이며 객체 탐지에서는 후자가 recall/precision 에 직접 들어가는 더 중요한 실패다. 게다가 matched 90 중 68(76%)이 MCCB 2종이라 Kappa 의 실질 판별 대상은 2클래스다,필요(문구) — 클래스 정의는 통했고 검출 기준이 통하지 않았다로 결론을 명시
PQ-05,왜 라벨러가 반 정보를 알아야 하는가,알려주지 않는 것이 현재 정책이며 NQ-15 로 열려 있다. 반을 알려주면 후보 목록에 맞춰 답을 추측할 수 있어 측정이 오염된다는 우려가 배경이다,deploy_checklist_D_E.md 반 정보를 감춘 상태 유지 · NQ-15 · trial_instructions.md 배포물 목록,지침서 §1 전체가 반을 안다는 전제 위에 서 있다. 가장 강조된 규칙(이것만 지켜도 오라벨이 크게 줄어듭니다)이 실행 불가능하고 3/3 재현됐다(A09 에서 3명이 3클래스). 게다가 open_questions.csv 는 NQ-15 를 blocks_current_labeling=NO 로 자기 평가했다,필수 — 중간안(반 이름은 감추고 CVAT 라벨 목록만 반별 제한)이 측정 설계를 가장 적게 훼손한다
PQ-06,20% residual near-duplicate risk 를 왜 수용하는가,"대안 2종을 실측하고 기각했다. 임계값 하향은 얻는 것 3 : 치르는 것 8, 자동 split 제약은 최대 덩어리 12~14%·val 8.3~11.3% 붕괴. 사람 판정 기반 S1 은 안전하나 위험의 0.27%만 덮는다. 중간 지점이 없다","threshold_calibration/RESULT.md · split_constraint_sim/RESULT.md (둘 다 기준선 재현 검증 통과: cos 0.93 에서 38,957 정확 일치 · S0 69.9/15.0/15.1)","방어는 견고하다. 다만 위험이 IR3 에 50%로 집중(IR3 = 전체 46.4% · 49,487장)인데 S2~S4 는 전 카메라 일괄 적용이었고 좁은 제약은 시험되지 않았다. 또 val/test 지표를 얼마나 할인해 읽어야 하는가의 수치가 없다 — KL-1 은 낙관적으로 나올 수 있다까지만 말한다",권장 — S5(IR3·같은 세션·cos>=0.9155) 1회 측정
PQ-07,왜 RGB 를 전체 데이터의 기본 annotation source 로 쓰지 않는가,"RGB 2,674장은 식별 참조용이며 라벨링 대상은 열화상이다(DEC-005). 정합은 IR1 구간에서만 유효하다",DEC-005 · selection_funnel.csv 03단계 · pilot/calibration.json,"자체 파이프라인 문서 04단계가 RGB 페어 이미지가 있다면 RGB 에서 라벨링 후 좌표를 열화상으로 투영한다고 권고한다. 즉 자기 권고에서 이탈했고 그 사유가 보고서 표면에 없다. 수치상 전면 적용이 불가능한 것은 맞다 — RGB 페어는 IR1 2,512장(2.4%)뿐이다",권장 — 파이프라인 04 권고 대비 이탈 사유를 한 문단으로 명시
PQ-08,IR2/IR3 는 왜 temperature pipeline 에서 제외되는가,"물리적으로 온도 데이터가 없다. flir.py 검증 결과 IR1 100/100 성공, IR2 0/100, IR3 0/100(APP1 세그먼트 부재). 라디오메트릭은 2,512장(2.4%)뿐이다",flir_compat_check.py · flir_compat.md · KL-3 · OQ-017,"객체 라벨링 단계에서는 무관하나 최종 목적이 핫스팟 탐지인데 97.6%에 온도가 없다. 판정이 모델 단계로 이월로 미뤄져 있어 후속 단계의 실행 가능성 자체가 검증되지 않았다. 정본 라벨 1,036장이 전부 IR1 인 것도 우연이 아니라 구조적 편중이다",필요(범위 밖이나 조기 판정) — 온도 부재가 최종 시스템 설계에 미치는 영향을 지금 문서화
PQ-09,0.003 threshold 는 왜 아직 가이드에 넣지 않는가,규칙이 아니라 관찰된 경험적 경계이기 때문이다. SMALL_OBJECT_SCOPE=감사·분석 전용. 지침서 배포 금지로 코드에 못박았다. 배포하면 B~E 가 A 와 다른 규칙을 본 것이 되어 재현성 검증이 오염된다,labeling_rules.py 7절 · NQ-12 · box_size_profile_2026-09-01.csv,"이 판단은 방법론적으로 옳다(감사자 PASS). 다만 2인 수렴(p05 폭 0.00042) → 3인 확산(0.00103, 2.5배)으로 근거가 약해졌고, 근거가 여전히 MCCB 접촉부 1종뿐인데 SMALL_OBJECT_STATUS=EVIDENCE_STRONG 라벨이 현재 데이터보다 강하다",필요 — D·E 회수 후 EVIDENCE_STRONG 강등 여부 판정
PQ-10,현재 가장 큰 프로젝트 위험은 무엇인가,저장소 스스로 데이터 누수가 아니라 사람이 같은 기준을 재현하는가라고 적었다(README · DEC-023),README 5분 요약 · trial_agreement_2026-09-01.md · DEC-023 핵심 리스크는 이제 …로 넘어갔다,"진단은 정확하나 한 단계 얕다. 실제 최대 위험은 사람이 재현하는가가 아니라 라벨러가 규칙을 적용할 수단을 못 받았다이다. §1 이 실행 불가능하고(V-1), 문서끼리 5개 반에서 충돌하며(V-2), 400장 작업 목록이 폐기된 정책을 담고 있다(V-3). 재현성을 논하기 전 단계의 문제다",필수 — A-1·A-2·A-3
PQ-11,VCB 접촉부는 라벨 실적 0건인데 P6 에 159박스가 있지 않은가,없다는 것이 현재 답이다. ANNOTATION_UNIT_BASIS[vcb_contact]=라벨 실적 0건 (NQ-13),없음 — 이 문구는 사실과 다르다,"감사자 실측 결과 data/backup/P6_6ban 에 구 class_id 17(VCB 접촉부) 159박스/111장이 존재한다. 프로젝트는 DEC-015 에서 참고 등급(P9 1,777박스)을 단위 판정 근거로 이미 채택했다. 같은 기준·같은 방법(접촉부 높이/본체 높이)을 적용하면 세로비 중앙 0.246(p25~p75 0.18~0.31)이 나오며 이는 CONTACT_POINT 로 판정된 두 클래스(몰드변압기 0.462·변류기 0.379)보다도 작다. 즉 판정에 필요한 근거가 이미 저장소 안에 있는데 0건이라고 적혀 있다",필수 — NQ-13 7종 중 최소 1종은 지금 닫을 수 있다(0.5일)
PQ-12,400장 작업 목록이 DEC-021 을 반영하고 있는가,(문서상 답 없음),없음,반영하지 않는다. seed_candidates.csv 의 P3 target_classes 는 여전히 변압기 … 변압기 접촉부이고 seed_allocation.csv 의 P3 는 labelable_classes=5·driving_class=변압기다. 현재 코드로 재실행하면 3·변류기가 나온다. 원인은 run_all.py STEPS 에 seed_select.py 가 없어 정책 변경이 시드에 전파되지 않는 것이며 traceability.csv(DEC-023 미반영)에 이은 동일 실패 모드 3번째 사례다,필수 — run_all.py 에 시드 단계 편입 후 전 산출물 재생성
PQ-13,검수 대장 5건을 누가 서명했는가,"REV-001~005 전건 서명 완료, 판정 대기 0건, C-4 충족",data/labeling/review_log.csv · certification/README.md C-4 는 닫혔다,서명자가 전원 동일인이며 프로젝트 수행자 본인이다. 설계·실행·검수가 한 사람이다. 심사에서 이 라벨을 누가 확인했습니까에 DEC 번호로는 답할 수 없어 대장을 따로 둔다는 설계 의도가 정확한데 정작 답이 1명이라 의도가 달성되지 않았다. 이 사실이 어느 보고서에도 없다. REV-003·REV-005 는 판정자가 blind 도 아니었다(labeling_rules.py 자인),필수 — 최소 1건 제3자 검수 + 보고서에 단독 검수 사실 명시
