case_id,delivered_as,group,image_id,panel,camera,session,cluster_id,cluster_size,is_representative,has_rgb_pair,panel_quota,quota_driving_class,target_class,difficulty_flags,why_this_panel_or_bucket,why_this_image,what_was_dropped,known_weakness,existing_label
A01,A01.jpg,A_본대상,P1/A1_B1_P1_2022-07-19_IR3_00004,P1-TR반,IR3,P1|A1_B1_2022-07-19_IR3_,P1-C6129,3,1,0,30,철심부,몰드변압기 접촉부,,"P1-TR반 은 몰드변압기 접촉부 의 단위를 검증할 반이다. 시드 후보 30장 중 촬영 세션 22개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P1|A1_B1_2022-07-19_IR3_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A02,A02.jpg,A_본대상,P1/A1_B1_P1_2022-07-25_IR2_00001,P1-TR반,IR2,P1|A1_B1_2022-07-25_IR2_,P1-C7869,13,1,0,30,철심부,몰드변압기 접촉부,,"P1-TR반 은 몰드변압기 접촉부 의 단위를 검증할 반이다. 시드 후보 30장 중 촬영 세션 22개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P1|A1_B1_2022-07-25_IR2_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A03,A03.jpg,A_본대상,P1/A1_B2_P1_2022-07-19_IR2_00085,P1-TR반,IR2,P1|A1_B2_2022-07-19_IR2_,P1-C9327,7,1,0,30,철심부,몰드변압기 접촉부,,"P1-TR반 은 몰드변압기 접촉부 의 단위를 검증할 반이다. 시드 후보 30장 중 촬영 세션 22개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P1|A1_B2_2022-07-19_IR2_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A04,A04.jpg,A_본대상,P1/A1_B2_P1_2022-07-19_IR3_00104,P1-TR반,IR3,P1|A1_B2_2022-07-19_IR3_,P1-C11347,1,1,0,30,철심부,몰드변압기 접촉부,,"P1-TR반 은 몰드변압기 접촉부 의 단위를 검증할 반이다. 시드 후보 30장 중 촬영 세션 22개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P1|A1_B2_2022-07-19_IR3_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 1장,같은 세션 후보 1장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A05,A05.jpg,A_본대상,P3/A2_B1_P3_2022-06-03_IR1_00001,P3-MOF반,IR1,P3|A2_B1_2022-06-03_IR1_,P3-C49398,1,1,1,15,변류기,변류기 접촉부,,"P3-MOF반 은 변류기 접촉부 의 단위를 검증할 반이다. 시드 후보 15장 중 촬영 세션 7개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P3|A2_B1_2022-06-03_IR1_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A06,A06.jpg,A_본대상,P3/A2_B1_P3_2022-07-11_IR2_00001,P3-MOF반,IR2,P3|A2_B1_2022-07-11_IR2_,P3-C49464,1,1,1,15,변류기,변류기 접촉부,,"P3-MOF반 은 변류기 접촉부 의 단위를 검증할 반이다. 시드 후보 15장 중 촬영 세션 7개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P3|A2_B1_2022-07-11_IR2_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A07,A07.jpg,A_본대상,P3/A3_B1_P3_2022-07-01_IR2_00004,P3-MOF반,IR2,P3|A3_B1_2022-07-01_IR2_,P3-C50906,1,1,1,15,변류기,변류기 접촉부,,"P3-MOF반 은 변류기 접촉부 의 단위를 검증할 반이다. 시드 후보 15장 중 촬영 세션 7개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P3|A3_B1_2022-07-01_IR2_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A08,A08.jpg,A_본대상,P4/A1_B1_P4_2022-05-12_IR1_00001,P4-MOF&PT반,IR1,P4|A1_B1_2022-05-12_IR1_,P4-C51561,1,1,1,30,변압기,변류기 접촉부,,"P4-MOF&PT반 은 변류기 접촉부 의 단위를 검증할 반이다. 시드 후보 30장 중 촬영 세션 7개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P4|A1_B1_2022-05-12_IR1_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 3장,같은 세션 후보 3장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A09,A09.jpg,A_본대상,P4/A1_B1_P4_2022-06-03_IR1_00002,P4-MOF&PT반,IR1,P4|A1_B1_2022-06-03_IR1_,P4-C51668,1,1,1,30,변압기,변류기 접촉부,,"P4-MOF&PT반 은 변류기 접촉부 의 단위를 검증할 반이다. 시드 후보 30장 중 촬영 세션 7개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P4|A1_B1_2022-06-03_IR1_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A10,A10.jpg,A_본대상,P4/A1_B1_P4_2022-06-17_IR1_00001,P4-MOF&PT반,IR1,P4|A1_B1_2022-06-17_IR1_,P4-C51722,1,1,1,30,변압기,변류기 접촉부,,"P4-MOF&PT반 은 변류기 접촉부 의 단위를 검증할 반이다. 시드 후보 30장 중 촬영 세션 7개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P4|A1_B1_2022-06-17_IR1_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A11,A11.jpg,A_본대상,P6/A1_B1_P6_2022-05-12_IR1_00002,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58864,1,1,1,61,SA,케이블헤드,,"P6-VCB반 은 케이블헤드 의 단위를 검증할 반이다. 시드 후보 61장 중 촬영 세션 23개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P6|A1_B1_2022-05-12_IR1_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
A12,A12.jpg,A_본대상,P6/A1_B1_P6_2022-06-17_IR1_00001,P6-VCB반,IR1,P6|A1_B1_2022-06-17_IR1_,P6-C58940,1,1,1,61,SA,케이블헤드,,"P6-VCB반 은 케이블헤드 의 단위를 검증할 반이다. 시드 후보 61장 중 촬영 세션 23개가 있고, 세션이 겹치지 않게 한 세션당 1장씩 뽑았다.",이 세션(P6|A1_B1_2022-06-17_IR1_)에서 RGB 페어 보유를 우선한 정렬의 첫 장. 같은 세션에서 밀린 후보 0장,같은 세션 후보 0장 — 세션당 1장 원칙에 따라 미선정. 탈락이 아니라 시드 400장에 그대로 남아 있다,세션 안에서의 선택은 RGB 페어 우선 외에 추가 기준이 없다. 정렬 후 첫 장이라 임의성이 남는다,없음
