id,question,current_answer,evidence,weakness,supplement_needed
PQ-01,왜 28개 클래스인가,가이드 v2 03 REFERENCE 종합표를 그대로 옮겼다. class_id = 가이드번호-1 은 기계적 변환임을 명시,classes_v2.py docstring · DEC-001 · schemas/classes_v2.csv,28종 중 19종이 이 데이터에서 관측 0건(class_inventory.csv). SA(#17)·CT(#16)는 v2 신규이고 SA 는 LA 와 외형 유사로 CLASSES_ON_HOLD. '가이드에 있으니 있다'는 관측 근거가 아니다,필요 — 시드 라벨링 후 실제 인스턴스 수로 스키마 확정/유보 결정
PQ-02,왜 이 라벨은 정본이고 저 라벨은 참고인가,"P1/P3/P4 4,177 은 검수 이력 확인으로 canonical. P6/P9 3,339 는 미작업 의심분·이상치·검수이력 부재로 승격 보류",label_source_inventory.csv 13소스 · DEC-011 · KL-5,참고 등급의 사유인 NQ-1(빈 라벨 31장+A3 44장)·NQ-6(6ban/9ban 검수상태)이 여전히 열림. 사유가 미확정인데 등급만 확정,필요 — NQ-1·NQ-6 판정 후 등급 재확인
PQ-03,Kappa 0.856(평균 0.902)이면 정말 라벨이 좋은 건가,아니다. 짝지어진 박스에서만 계산되며 전체 품질 점수로 읽지 않는다고 저장소가 명시,agreement.py 설계 · trial_agreement_2026-09-01.md · certification_evidence.c2_agreement(),그 위에 더 심한 편향: 비교 14~17/30 장이고 빠진 13~15장은 어렵다고 Skip 한 장이다(어려운 절반 제거 후의 일치도). matched 90 중 68이 MCCB 2종이라 실질 판별도 2클래스. 3쌍 산술평균은 다인자 통계 아님,필요 — Skip 포함 지표 + Fleiss κ 병기 (BLK-4)
PQ-04,누수가 0이라는 근거가 있는가,"0이라고 주장하지 않는다. 같은 cluster 의 split 교차 0건(구조적 보장)이고 근접 유사 쌍 잔여 위험 약 20%(추정 8,200쌍)를 공개",split_leakage.csv · DEC-023 · KL-1 · REV-005 101쌍,"20%는 41,184쌍 중 101쌍(0.25%) 표본의 층화 가중 추정. IR3 에서 50.0% 로 집중되는데 IR3 가 전체의 46.4%(49,487장). 카메라 편중에 대응한 제약은 시뮬되지 않음(S2~S4는 전 카메라 일괄)",필요 — 'IR3·같은세션·cos>=0.9155' 좁은 제약 S5 1회 측정
PQ-05,20% 위험이면 왜 현재 split 을 유지하는가,"대안 2종 실측 후 기각. 임계값 하향은 얻는 것 3:치르는 것 8, 자동 제약은 최대덩어리 12~14%·val 8.3~11.3% 붕괴. S1 은 안전하나 위험의 0.27%만 덮음. 중간 지점이 없다",threshold_calibration/RESULT.md · split_constraint_sim/RESULT.md,방어는 견고. 다만 'val/test 지표를 얼마나 할인해 읽어야 하는가'의 수치가 없다. KL-1 은 '낙관적으로 나올 수 있다'까지만 말한다,권장 — 최종 학습셋 고정 시 leakage-free 부분집합 대조평가 계획
PQ-06,"기존 라벨 4,158개를 왜 믿는가",승계 손실 0 · 제외클래스 위반 0 · 반후보 위반 0 · 같은클래스 중복 20건 전수판정(오탐 0) 후 19박스 제외,DEC-016 · DEC-022 · canonical_audit_summary.csv · migration_verification.csv,"가장 취약. 감사한 6규칙이 전부 좌표 기반이다. DEC-016 스스로 의미일치는 '자동 판정하지 않았다', WHOLE_OBJECT 는 'NOT_AUDITABLE', 잘림 1,207건 UNDETERMINABLE 이라 적었고 누락(FN) 검사 항목은 아예 없다. 독립 라벨러와 대조된 canonical 은 전체 시험에서 1장뿐이며 그 1장에서 A 는 40% 적게 그렸다. OQ-009 열림",필수 — 정본 표본 재라벨링(BLK-5). '정제된 ground truth' 표현을 '규칙 위반이 제거된 승계 라벨'로 낮출 것
PQ-07,라벨링 기준이 사람마다 다른데 어떻게 해결했는가,아직 해결하지 않았다. 1차 시험으로 갈리는 지점을 식별(NQ-12/14/15/16)했고 D·E 회수 후 지침서 v2 를 만든다,trial_agreement_2026-09-01.md · deploy_checklist_D_E.md,"가장 큰 갈림(NQ-15, 3/3 재현)은 지침서를 고쳐 해결되는 문제가 아니라 배포 방식의 문제. 또 v2 확정 후 A·B·C 의 v1 라벨을 재작업할지 폐기할지 정책이 없다",필수 — NQ-15 판정 + re-label 정책
PQ-08,왜 0.003인가 (작은 객체 하한),규칙이 아니다. SMALL_OBJECT_SCOPE='감사·분석 전용. 지침서 배포 금지'. 식별 가능성과 bbox 면적 사이에서 관찰된 경험적 경계,labeling_rules.py 7절 · NQ-12 · box_size_profile_2026-09-01.csv,"2인 수렴(p05 폭 0.00042) → 3인 확산(0.00103, 2.5배). 근거는 MCCB 접촉부 1종뿐. SMALL_OBJECT_STATUS='EVIDENCE_STRONG' 라벨이 현재 데이터보다 강하다",필요 — D·E 회수 후 EVIDENCE_STRONG 강등 여부 판정
PQ-09,왜 RGB 를 사용하지 않았는가,"라벨링 대상은 열화상이고 RGB 2,674장은 식별 참조용으로만 쓴다(DEC-005). 정합은 IR1 구간에서만 유효",DEC-005 · selection_funnel.csv 03단계 · pilot/calibration.json,"파이프라인 문서 04단계는 'RGB 페어가 있다면 RGB에서 라벨링 후 좌표를 투영한다'고 권고한다. 즉 자체 파이프라인 권고에서 이탈했고 그 사유가 보고서 표면에 없다. RGB 는 IR1 2,512장(2.4%)에만 있어 전면 적용 불가인 것은 맞다",권장 — '파이프라인 04 권고 대비 이탈 사유'를 한 문단 명시
PQ-10,IR2/IR3 온도 데이터는 어떻게 할 것인가,"라디오메트릭은 IR1 2,512장(2.4%)에만 있고 IR2/IR3 는 APP1 없음. 1차 목표가 객체 라벨링이라 blocker 아님. 모델 단계로 이월",flir_compat_check.py · flir_compat.md (IR1 100/100 · IR2 0/100 · IR3 0/100) · OQ-017 · KL-3,온도 기반 핫스팟이 최종 목적인데 97.6%에 온도가 없다. 객체 라벨링 단계는 무관하나 후속 단계의 실행 가능성 자체가 위태롭다. 판정이 미뤄져 있다,필요(범위 밖이나 조기 판정 권장) — 후속 시스템 설계 영향 지금 문서화
PQ-11,P4-MOF 반은 왜 DEC-021 을 적용하지 않았는가,P4 는 실제 라벨 차이(변압기 1 · 변압기 접촉부 3)가 있어 적용하지 않았다,DEC-021 · class_inventory.csv · oq001_mof_visual_separability.md,매우 약하다. P4 근거는 1박스+3박스이고 같은 P4 의 변류기는 140·접촉부 41(99.3% 대 0.7%). 시험에서 A·B·C 가 실제로 막힌 장의 다수가 P4 였다. P3 는 닫고 P4 는 열어 둔 것이 데이터가 아니라 박스 4개에 의존한다,필수 — 400장 배포 전 P4 판정. 현재로선 P4 라벨러가 시험과 동일하게 막힌다
PQ-12,3명이 같은 날 작업했는데 독립성을 어떻게 보장했는가,지시문에 '다른 라벨러 결과를 보지 않는다·상의 금지' 명시. 기존 라벨 pre-annotation 미투입을 체크리스트로 확인,trial_instructions.md · deploy_checklist_D_E.md · time_log.csv,검증 수단이 없다. A 14:00 · B 18:00 · C 22:09 로 같은 날 순차 작업이며 라벨러 신원·배경·상호관계 기록이 없다. A 와 C 는 Skip 12장으로 패턴 유사하고 Kappa 0.954 로 최고인데 독립 수렴인지 유사 배경인지 구분 자료가 없다,필요 — 라벨러 배경(전기설비 지식)·작업 환경 기록
