area,max,score_v2,score_v1,delta,evidence_for_score,deductions,change_reason
데이터 무결성,10,8,8,0,"원본 무수정 · 이미지 sha256 지문(fingerprints.csv) · 정본 4,177박스/1,036파일 감사자 독립 재계수 일치 · selection_funnel 7단계 분모 일치",라벨 백업 체크섬 매니페스트 없음 · P11~P13 삭제분 복구 미시연 · certification/traceability.csv 가 DEC-023 이전 상태,변동 없음
클래스/스키마,10,6,5,+1,출처(가이드 v2 03 REFERENCE) 명확 · class_id 파생 규칙 명시 · 감사자 실측 결과 25종 중 12종 CONFIRMED_PRESENT(정본 또는 참고에 박스 실재) · LIKELY_PRESENT 5종,초판이 '19종 관측 0건'으로 과소평가한 것을 +1 상향. 감점: ANNOTATION_UNIT_BASIS['vcb_contact']='라벨 실적 0건'이 사실과 다름(P6 참고 159박스 실재) · seed_candidates/seed_allocation 이 DEC-021 이전 상태 · 단위 확정 18 중 15가 무근거 기본값,"존재 근거 재평가로 상향, 신규 결함 2건으로 일부 상쇄"
라벨링 규칙,15,6,6,0,문서 가독성 높음 · 정반대 단위 2종(접속점 vs 단자군) 구분 성공 · 제외 3종 툴 레벨까지 차단 · SMALL_OBJECT 배포금지를 코드 상수로 강제,"§1 반별 후보표가 배포 조건에서 실행 불가(D-1) · §1↔§2 5개 반 충돌(D-2~D-4) · HTML 자체 모순 P7 1종vs3종·P3 4종vs5종(D-5) · 신규: §6 유일한 겹침 예시가 참고 데이터와 9%만 일치(D-10) · 잘림 30% 판정 불가 1,207건",신규 감점(D-10)이 있으나 초판 평가 범위 내
라벨러 작업 가능성,15,5,5,0,Skip 정책·빈파일 구분·반별 참조카드·RGB 22장 제공 · 실무 17문항 중 8건 YES,3인 전원 라벨 4/25종(그중 76%가 MCCB 2종) · 30장 중 16장이 누군가에게 Skip · 3인 전원 라벨한 장 14 · count agreement 53.1~66.7% · Skip 40% vs 6.7%(6배) · 실무 17문항 중 NO 3건(작업 반/그릴 클래스/escalation 경로),변동 없음
annotation QA,15,6,6,0,agreement.py 설계 우수(NOT_SCORED·FORBIDDEN 분리) · 바이트 재현 실증 · certification_evidence 가 '기반 74%'를 자동 병기 · C-5 미측정 표기가 모범적,독립 검수 0건(REV-001~005 전건 동일인 서명) · 정본 recall 감사 항목 자체가 부재 · adjudication 절차 없음 · C-1/C-3 이름이 내용과 다름 · Kappa 3쌍 산술평균은 Fleiss κ 아님 · 판정자 blind 아님,변동 없음
중복/누수/분할,10,8.5,8,+0.5,"pHash·임베딩과 독립인 파일명 메타데이터로 정답셋 구성 · NEG-hard 포함 · union-find 실패(41,063장) 실측 후 리더 방식 교체 · 임계값 7종 sweep 과 split 제약 S0~S4 둘 다 기준선 재현 검증 통과 · 신규: '누수 없음'/'zero leakage' 표현이 저장소 전수 검색 0건이며 0 옆에 항상 '설계상 불가능하므로 0이 아니면 버그' 해석을 병기",정답셋 POS 정의가 연속프레임이라 쉬움 · F1 최적점이 격자 경계(ham=22) · 잔여 20% 미완화 · IR3 50% 편중에 대한 좁은 제약(S5) 미측정 · 70/15/15 무근거,표현 규율이 전수 검색으로 실증되어 +0.5
재현성/자동화,10,5.5,6,-0.5,agreement.py·certification_evidence.py 바이트 동일 재현 실증 · seed 전부 고정(build_splits 20260828 · dedup random.seed(5)) · 상대경로 · 정본 재계수 일치,신규: run_all.py STEPS 12단계에 seed_select/trial_labelset_select/trial_set_export 부재 -> 정책 변경이 400장 목록에 전파되지 않음(D-11). stale 산출물 3건(seed_allocation·seed_candidates·traceability) · 버전관리 없음(git 아님) · requirements 없음 · resnet18 런타임 다운로드 · set_num_threads(24) 하드코딩,생성 경계 결함(D-11)이 신규 확인되어 -0.5
실무 운영성,5,2,2.5,-0.5,라벨러 폴더·skip_log·time_log 배포 · trial_ingest/status_check 회수 위생이 실제로 문제를 잡음(C 의 case_id 3건),"배정/큐 없음 · adjudication 없음 · QA 표본 없음 · 재작업 정책 없음 · 38,957장 물량 추정 없음 · escalation 경로 문서 전무 · D·E 추가 구두안내로 5인 비교 조건 불일치 · 사전라벨 빈 클래스(최소 7종) 처리 방침 부재",Stage 3 사전라벨 공백으로 -0.5
교수님 보고/추적성,5,3.5,3.5,0,지표 옆 반증 주석 다수(Kappa·0.48%·오탐 0건·20%) · 미해소 21건 전부 공개 · DEC 23건 · 로그 FACT/INFERENCE/DECISION,C-1 '라벨링 오류율 0.50%' 와 C-3 '시드 기준' 표기가 내용과 불일치 · C-2 PASS 헤드라인 · '기준은 우리가 만든 것이 아니다'(C-1~C-4는 자체 파이프라인 문서) · 단독 검수자 사실 미고지 · '라벨대상 25종 전원 커버'가 이미지 수준 미검증,변동 없음
연구 방법론,5,4,4,0,잠정결론 명시 철회(oq016 RESULT '이전 잠정 판단이 틀렸다') · 음성결과 보존(threshold_calibration 전체) · 측정과 사람 판단 분리('판정은 사람이 한다') · UNDETERMINABLE 을 PASS 에 섞지 않음,판정자 blind·독립성 부재 · NQ-13 의 '라벨 실적 0건' 전제를 재확인한 사람이 없었음 · 단위 확정 18종 결론이 근거(3종 실측 + 15종 가정)를 초과,변동 없음
TOTAL,100,54.5,54,+0.5,YELLOW / READY_WITH_CONDITIONS / 400장 NO,초판 대비 총점은 유사하나 구성이 크게 변경 — 초판 과대평가(BLK-3 규모 2.6배)와 미발견 결함(D-7 D-8 D-11)이 상쇄,초판 점수에서 자동 보정하지 않고 재평가
