area,max,score,evidence_for_score,deductions
데이터 무결성,10,8,"원본 무수정·sha256 지문·정본 4,177 독립 재계수 일치",라벨 백업 체크섬 없음 · P11~P13 복구 미시연 · traceability.csv stale
클래스/스키마,10,5,출처(가이드 v2 03 REFERENCE) 명확 · class_id 파생 규칙 명시,19/28 관측 0건 · 단위확정 18중 15가 무근거 기본값 · 가이드↔코드 P3 drift · SA 는 HOLD인데 배포됨
라벨링 규칙,15,6,문서 가독성 높음 · 단위 정반대 2종 구분 성공 · 임계값 배포금지 코드화,"§1 반별 후보표가 실행 불가 · §1↔§2 충돌 5개 반 · HTML 자체 모순 · 잘림 30% 판정 불가 1,207건"
라벨러 작업 가능성,15,5,Skip 정책·빈파일 구분·참조카드·RGB 22장 제공,30장중 16장 Skip · 3인 전원라벨 14장 · 개수일치 53~67% · 7종 라벨불가 · P7은 1종만 가능 | [R1] 라벨 대상 25종 중 3인 전원이 그린 것은 4종뿐(그중 76%가 MCCB 2종) · 4종은 아무도 0박스 · 10종은 1명만 그려 일치도 산출 불가(§9-G2)
annotation 품질관리,15,6,agreement.py 설계 우수(NOT_SCORED/FORBIDDEN 분리) · 바이트 재현 실증,Kappa가 Skip선택편향 잔여표본 · 3쌍 산술평균은 다인자통계 아님 · C-1은 오류율 아님 · 독립검수 0 · recall 감사 0 · adjudication 없음
중복/누수/분할,10,8,독립 GT 설계 · 임계값 sweep · split 제약 시뮬 · 101쌍 육안 · 기준선 재현검증,GT POS가 연속프레임(쉬움) · 격자 경계 최적점 ham=22 · 잔여 20% 미완화 · IR3 편중 미대응 · 70/15/15 무근거
재현성/자동화,10,6,agreement.py·certification_evidence 바이트 동일 재현 · seed 전부 고정 · 상대경로,버전관리 없음(git 아님) · requirements 없음 · resnet18 런타임 다운로드 · set_num_threads(24) 하드코딩
실무 운영성,5,2.0,라벨러 폴더·skip/time log·회수 위생 검사가 실제로 문제를 잡음,"배정/큐 없음 · adjudication 없음 · QA표본 없음 · 재작업 정책 없음 · 38,957장 물량추정 없음 · D·E 추가안내로 5인 비교 조건 불일치 | [R1] 모델이 예측 못 하는 클래스(최소 7종)의 사전라벨링 처리 방침 없음 — 07단계는 '수정'만 전제(§9-G4·R-9)"
교수님 보고/추적성,5,3.5,지표 옆 반증 주석 다수 · 미해소 21건 전부 공개 · DEC 23건,C-1 0.50%/C-2 PASS 헤드라인 · '기준은 우리가 만든 것이 아니다' 과장 · 단독 검수자 미고지 · '25종 전원 커버'
연구 방법론,5,4,잠정결론 명시 철회(OQ-016) · 음성결과 보존 · FACT/INFERENCE 구분,판정자 blind·독립성 부재 · 단위 확정 결론이 근거 초과
TOTAL,100,53.5,,YELLOW / READY_WITH_CONDITIONS · 초판 54 → 개정 R1 53.5
