pair_id,verdict,note,image,cosine,same_session,same_cluster,panel,camera_a,camera_b
# verdict 는 넷 중 하나: SAME_SCENE / NEAR_DUPLICATE / DIFFERENT_SCENE / UNCERTAIN,,,,,,,,,
# SAME_SCENE=사실상 같은 시야(미세 이동만) · NEAR_DUPLICATE=같은 대상 거의 같은 구도지만 명백히 다른 프레임,,,,,,,,,
# DIFFERENT_SCENE=시야·대상·구성이 실질적으로 다름 · UNCERTAIN=두 장만으로 판정 불가,,,,,,,,,
pair_0001,DIFFERENT_SCENE,,pair_0001.png,0.9052,0,0,P9,IR2,IR2
pair_0002,DIFFERENT_SCENE,,pair_0002.png,0.9193,1,0,P1,IR2,IR2
pair_0003,DIFFERENT_SCENE,,pair_0003.png,0.9015,0,0,P9,IR2,IR2
pair_0004,DIFFERENT_SCENE,,pair_0004.png,0.9148,1,0,P9,IR2,IR2
pair_0005,DIFFERENT_SCENE,,pair_0005.png,0.9292,0,0,P1,IR2,IR2
pair_0006,SAME_SCENE,,pair_0006.png,0.9197,1,0,P10,IR2,IR2
pair_0007,DIFFERENT_SCENE,,pair_0007.png,0.9268,1,0,P1,IR2,IR2
pair_0008,SAME_SCENE,,pair_0008.png,0.925,1,0,P3,IR3,IR3
pair_0009,DIFFERENT_SCENE,,pair_0009.png,0.9082,0,0,P9,IR2,IR2
pair_0010,DIFFERENT_SCENE,,pair_0010.png,0.9044,0,0,P1,IR2,IR2
pair_0011,DIFFERENT_SCENE,,pair_0011.png,0.9267,1,0,P1,IR2,IR2
pair_0012,NEAR_DUPLICATE,,pair_0012.png,0.9285,1,0,P9,IR2,IR2
pair_0013,DIFFERENT_SCENE,,pair_0013.png,0.9177,0,0,P1,IR2,IR2
pair_0014,DIFFERENT_SCENE,,pair_0014.png,0.9067,1,0,P1,IR3,IR3
pair_0015,DIFFERENT_SCENE,,pair_0015.png,0.9009,1,0,P1,IR2,IR2
pair_0016,SAME_SCENE,,pair_0016.png,0.9185,1,0,P8,IR3,IR3
pair_0017,DIFFERENT_SCENE,,pair_0017.png,0.9146,0,0,P1,IR2,IR2
pair_0018,DIFFERENT_SCENE,,pair_0018.png,0.9066,1,0,P1,IR2,IR2
pair_0019,DIFFERENT_SCENE,,pair_0019.png,0.9111,1,0,P1,IR3,IR3
pair_0020,DIFFERENT_SCENE,,pair_0020.png,0.9167,1,0,P9,IR2,IR2
pair_0021,DIFFERENT_SCENE,,pair_0021.png,0.9093,1,0,P1,IR2,IR2
pair_0022,SAME_SCENE,,pair_0022.png,0.9228,1,0,P1,IR2,IR2
pair_0023,DIFFERENT_SCENE,,pair_0023.png,0.9104,1,0,P9,IR2,IR2
pair_0024,DIFFERENT_SCENE,,pair_0024.png,0.9206,0,0,P9,IR2,IR2
pair_0025,DIFFERENT_SCENE,,pair_0025.png,0.9009,1,0,P1,IR2,IR2
pair_0026,DIFFERENT_SCENE,,pair_0026.png,0.9038,1,0,P3,IR3,IR3
pair_0027,DIFFERENT_SCENE,,pair_0027.png,0.9236,0,0,P9,IR2,IR2
pair_0028,DIFFERENT_SCENE,,pair_0028.png,0.9046,1,0,P1,IR3,IR3
pair_0029,DIFFERENT_SCENE,,pair_0029.png,0.9081,1,0,P1,IR2,IR2
pair_0030,SAME_SCENE,,pair_0030.png,0.9265,1,0,P9,IR2,IR2
pair_0031,DIFFERENT_SCENE,,pair_0031.png,0.9188,1,0,P1,IR2,IR2
pair_0032,DIFFERENT_SCENE,,pair_0032.png,0.9265,0,0,P8,IR2,IR2
pair_0033,DIFFERENT_SCENE,,pair_0033.png,0.9015,1,0,P9,IR2,IR2
pair_0034,DIFFERENT_SCENE,,pair_0034.png,0.9153,1,0,P1,IR2,IR2
pair_0035,DIFFERENT_SCENE,,pair_0035.png,0.9098,0,0,P5,IR2,IR2
pair_0036,DIFFERENT_SCENE,,pair_0036.png,0.9079,0,0,P9,IR2,IR2
pair_0037,SAME_SCENE,,pair_0037.png,0.9298,1,0,P9,IR3,IR3
pair_0038,SAME_SCENE,,pair_0038.png,0.9157,1,0,P1,IR3,IR3
pair_0039,DIFFERENT_SCENE,,pair_0039.png,0.9072,0,0,P1,IR2,IR2
pair_0040,DIFFERENT_SCENE,,pair_0040.png,0.9011,0,0,P9,IR2,IR2
pair_0041,SAME_SCENE,,pair_0041.png,0.9272,1,0,P1,IR3,IR3
pair_0042,DIFFERENT_SCENE,,pair_0042.png,0.9062,0,0,P1,IR2,IR2
pair_0043,DIFFERENT_SCENE,,pair_0043.png,0.9189,1,0,P4,IR2,IR2
pair_0044,DIFFERENT_SCENE,,pair_0044.png,0.9099,0,0,P9,IR2,IR2
pair_0045,DIFFERENT_SCENE,,pair_0045.png,0.9269,1,0,P1,IR3,IR3
pair_0046,DIFFERENT_SCENE,,pair_0046.png,0.9248,1,0,P1,IR2,IR2
pair_0047,DIFFERENT_SCENE,,pair_0047.png,0.9118,1,0,P6,IR2,IR2
pair_0048,DIFFERENT_SCENE,,pair_0048.png,0.9274,1,0,P9,IR2,IR2
pair_0049,DIFFERENT_SCENE,,pair_0049.png,0.9246,1,0,P2,IR2,IR2
pair_0050,SAME_SCENE,,pair_0050.png,0.9241,1,0,P6,IR3,IR3
pair_0051,DIFFERENT_SCENE,,pair_0051.png,0.9214,1,0,P1,IR2,IR2
pair_0052,SAME_SCENE,,pair_0052.png,0.9126,0,0,P9,IR2,IR2
pair_0053,DIFFERENT_SCENE,,pair_0053.png,0.9129,1,0,P1,IR2,IR2
pair_0054,SAME_SCENE,,pair_0054.png,0.9235,1,0,P9,IR2,IR2
pair_0055,DIFFERENT_SCENE,,pair_0055.png,0.9207,1,0,P1,IR2,IR2
pair_0056,DIFFERENT_SCENE,,pair_0056.png,0.9011,1,0,P9,IR3,IR3
pair_0057,SAME_SCENE,,pair_0057.png,0.9224,1,0,P6,IR3,IR3
pair_0058,DIFFERENT_SCENE,,pair_0058.png,0.9077,1,0,P9,IR2,IR2
pair_0059,SAME_SCENE,,pair_0059.png,0.9206,1,0,P1,IR3,IR3
pair_0060,DIFFERENT_SCENE,,pair_0060.png,0.901,0,0,P5,IR2,IR2
pair_0061,DIFFERENT_SCENE,,pair_0061.png,0.9232,0,0,P9,IR2,IR2
pair_0062,SAME_SCENE,,pair_0062.png,0.9184,1,0,P9,IR3,IR3
pair_0063,DIFFERENT_SCENE,,pair_0063.png,0.9027,1,0,P1,IR3,IR3
pair_0064,DIFFERENT_SCENE,,pair_0064.png,0.9096,1,0,P1,IR3,IR3
pair_0065,SAME_SCENE,,pair_0065.png,0.9281,1,0,P10,IR2,IR2
pair_0066,DIFFERENT_SCENE,,pair_0066.png,0.9104,1,0,P1,IR3,IR3
pair_0067,DIFFERENT_SCENE,,pair_0067.png,0.9112,0,0,P9,IR2,IR2
pair_0068,DIFFERENT_SCENE,,pair_0068.png,0.9014,1,0,P6,IR3,IR3
pair_0069,SAME_SCENE,,pair_0069.png,0.9198,1,0,P9,IR2,IR2
pair_0070,DIFFERENT_SCENE,,pair_0070.png,0.9272,0,0,P1,IR2,IR2
pair_0071,DIFFERENT_SCENE,,pair_0071.png,0.9144,1,0,P1,IR2,IR2
pair_0072,SAME_SCENE,,pair_0072.png,0.92,1,0,P1,IR3,IR3
pair_0073,DIFFERENT_SCENE,,pair_0073.png,0.9082,1,0,P1,IR1,IR1
pair_0074,SAME_SCENE,,pair_0074.png,0.9244,1,0,P1,IR3,IR3
pair_0075,DIFFERENT_SCENE,,pair_0075.png,0.9187,0,0,P8,IR2,IR2
pair_0076,DIFFERENT_SCENE,,pair_0076.png,0.9177,1,0,P1,IR2,IR2
pair_0077,DIFFERENT_SCENE,,pair_0077.png,0.9181,1,0,P9,IR2,IR2
pair_0078,DIFFERENT_SCENE,,pair_0078.png,0.9218,0,0,P1,IR2,IR2
pair_0079,DIFFERENT_SCENE,,pair_0079.png,0.912,1,0,P1,IR3,IR3
pair_0080,SAME_SCENE,,pair_0080.png,0.9239,0,0,P9,IR2,IR2
pair_0081,DIFFERENT_SCENE,,pair_0081.png,0.9154,1,0,P9,IR2,IR2
pair_0082,DIFFERENT_SCENE,,pair_0082.png,0.9165,0,0,P9,IR2,IR2
pair_0083,DIFFERENT_SCENE,,pair_0083.png,0.9038,1,0,P1,IR2,IR2
pair_0084,DIFFERENT_SCENE,,pair_0084.png,0.9147,1,0,P7,IR2,IR2
pair_0085,NEAR_DUPLICATE,,pair_0085.png,0.9217,0,0,P9,IR2,IR2
pair_0086,DIFFERENT_SCENE,,pair_0086.png,0.9232,0,0,P1,IR2,IR2
pair_0087,DIFFERENT_SCENE,,pair_0087.png,0.9149,1,0,P9,IR2,IR2
pair_0088,SAME_SCENE,,pair_0088.png,0.9194,1,0,P1,IR3,IR3
pair_0089,DIFFERENT_SCENE,,pair_0089.png,0.9228,0,0,P9,IR2,IR2
pair_0090,DIFFERENT_SCENE,,pair_0090.png,0.9188,1,0,P9,IR2,IR2
pair_0091,DIFFERENT_SCENE,,pair_0091.png,0.9113,0,0,P1,IR2,IR2
pair_0092,DIFFERENT_SCENE,,pair_0092.png,0.9003,1,0,P1,IR3,IR3
pair_0093,DIFFERENT_SCENE,,pair_0093.png,0.9214,0,0,P9,IR2,IR2
pair_0094,DIFFERENT_SCENE,,pair_0094.png,0.9053,0,0,P9,IR2,IR2
pair_0095,DIFFERENT_SCENE,,pair_0095.png,0.9211,0,0,P9,IR2,IR2
pair_0096,DIFFERENT_SCENE,,pair_0096.png,0.9006,1,0,P9,IR2,IR2
pair_0097,DIFFERENT_SCENE,,pair_0097.png,0.9233,1,0,P1,IR2,IR2
pair_0098,DIFFERENT_SCENE,,pair_0098.png,0.903,1,0,P1,IR2,IR2
pair_0099,DIFFERENT_SCENE,,pair_0099.png,0.9207,0,0,P1,IR2,IR2
pair_0100,DIFFERENT_SCENE,,pair_0100.png,0.9088,0,0,P1,IR2,IR2
pair_0101,DIFFERENT_SCENE,,pair_0101.png,0.9004,0,0,P9,IR2,IR2
