source,panel_id,image,session,cluster_id,cluster_size,labeled_cluster_mates,cluster_mate_example,nearest_neighbor,nn_similarity,nn_is_labeled,verdict
6ban,P6,A1_B1_P6_2022-05-12_IR1_00006,P6|A1_B1_2022-05-12_IR1_,P6-C58868,1,0,,A1_B1_P6_2022-05-12_IR1_00051,0.9483,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B1_P6_2022-05-12_IR1_00025,P6|A1_B1_2022-05-12_IR1_,P6-C58887,1,0,,A1_B1_P6_2022-05-12_IR1_00050,0.9429,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B1_P6_2022-05-12_IR1_00027,P6|A1_B1_2022-05-12_IR1_,P6-C58889,1,0,,A1_B1_P6_2022-05-12_IR1_00028,0.9474,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B1_P6_2022-05-12_IR1_00030,P6|A1_B1_2022-05-12_IR1_,P6-C58892,1,0,,A1_B1_P6_2022-05-12_IR1_00027,0.9436,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-05-12_IR1_00032,P6|A1_B1_2022-05-12_IR1_,P6-C58894,2,0,,A1_B1_P6_2022-05-12_IR1_00033,0.9505,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-05-12_IR1_00033,P6|A1_B1_2022-05-12_IR1_,P6-C58894,2,0,,A1_B1_P6_2022-05-12_IR1_00032,0.9505,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-05-12_IR1_00053,P6|A1_B1_2022-05-12_IR1_,P6-C58915,1,0,,A1_B1_P6_2022-05-12_IR1_00056,0.9079,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-05-12_IR1_00055,P6|A1_B1_2022-05-12_IR1_,P6-C58917,1,0,,A1_B1_P6_2022-05-12_IR1_00056,0.9483,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-05-12_IR1_00056,P6|A1_B1_2022-05-12_IR1_,P6-C58918,1,0,,A1_B1_P6_2022-05-12_IR1_00055,0.9483,0,정상 음성 가능 — 유사한 라벨 이미지 없음
6ban,P6,A1_B1_P6_2022-05-12_IR1_00058,P6|A1_B1_2022-05-12_IR1_,P6-C58920,1,0,,A1_B1_P6_2022-05-12_IR1_00057,0.9477,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B1_P6_2022-05-12_IR1_00059,P6|A1_B1_2022-05-12_IR1_,P6-C58921,1,0,,A1_B1_P6_2022-05-12_IR1_00061,0.9446,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B1_P6_2022-05-12_IR1_00060,P6|A1_B1_2022-05-12_IR1_,P6-C58922,1,0,,A1_B1_P6_2022-05-12_IR1_00061,0.9398,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B1_P6_2022-05-12_IR1_00064,P6|A1_B1_2022-05-12_IR1_,P6-C58926,1,0,,A1_B1_P6_2022-05-12_IR1_00063,0.9256,1,판단 보류 — 최근접 이웃이 라벨됨(유사도 중간)
6ban,P6,A1_B1_P6_2022-05-12_IR1_00066,P6|A1_B1_2022-05-12_IR1_,P6-C58928,1,0,,A1_B1_P6_2022-05-12_IR1_00065,0.9415,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B1_P6_2022-05-12_IR1_00069,P6|A1_B1_2022-05-12_IR1_,P6-C58931,1,0,,A1_B1_P6_2022-05-12_IR1_00070,0.953,1,미작업 의심 — 최근접 이웃이 라벨됨(유사도 높음)
6ban,P6,A1_B1_P6_2022-05-12_IR1_00075,P6|A1_B1_2022-05-12_IR1_,P6-C58936,1,0,,A1_B1_P6_2022-06-17_IR1_00025,0.8805,0,정상 음성 가능 — 유사한 라벨 이미지 없음
