panel,class_name,v1_says,schema_says,kind
P2-LBS&LA반,LBS 1차측 접촉부,그린다,그리지 않는다,§2 가 금지한 단위 미확정 클래스를 §1 이 나열
P2-LBS&LA반,LBS 2차측 접촉부,그린다,그리지 않는다,§2 가 금지한 단위 미확정 클래스를 §1 이 나열
P2-LBS&LA반,(HTML 개수표),4종 (목록은 6종),4종,HTML 개수표 ↔ §1 목록 ↔ 스키마 삼자 불일치
P3-MOF반,변압기,그린다,그리지 않는다,현재 스키마의 반 후보가 아님 (DEC 로 제외됨)
P3-MOF반,변압기 접촉부,그린다,그리지 않는다,현재 스키마의 반 후보가 아님 (DEC 로 제외됨)
P3-MOF반,(HTML 개수표),4종 (목록은 5종),3종,HTML 개수표 ↔ §1 목록 ↔ 스키마 삼자 불일치
P4-MOF&PT반,변압기 접촉부,그린다,그리지 않는다,§2 가 금지한 단위 미확정 클래스를 §1 이 나열
P4-MOF&PT반,(HTML 개수표),5종 (목록은 6종),5종,HTML 개수표 ↔ §1 목록 ↔ 스키마 삼자 불일치
P5-PF&PT반,분기 접촉부,그린다,그리지 않는다,현재 스키마의 반 후보가 아님 (DEC 로 제외됨)
P5-PF&PT반,인입선로 접촉부,그린다,그리지 않는다,§2 가 금지한 단위 미확정 클래스를 §1 이 나열
P5-PF&PT반,케이블헤드,없음,그린다,v1 표에서 누락
P5-PF&PT반,(HTML 개수표),2종 (목록은 4종),3종,HTML 개수표 ↔ §1 목록 ↔ 스키마 삼자 불일치
P6-VCB반,(HTML 개수표),3종 (목록은 4종),4종,HTML 개수표 ↔ §1 목록 ↔ 스키마 삼자 불일치
P7-VCB&CT반,CT 접촉부,그린다,그리지 않는다,§2 가 금지한 단위 미확정 클래스를 §1 이 나열
P7-VCB&CT반,(HTML 개수표),1종 (목록은 3종),2종,HTML 개수표 ↔ §1 목록 ↔ 스키마 삼자 불일치
