id,topic,question,why_it_matters,evidence,findings,blocking_step,owner,impact,blocks_current_labeling,status
OQ-001,반-클래스 매핑,P3-MOF반의 후보 클래스를 MOF&PT 반 기준(PT 제외) 5종으로 확정해도 되는가,가이드에 P3 단독 상세가 없어 잠정 배정 상태다,reports/decisions/DEC-009 · experiments/dedup/oq_probe/P3_rep_0.png · migration_verification.csv · oq001_mof_visual_separability.md · annotator_A skip_log,"기존 라벨 227박스 대조 결과 변류기 49 / 변류기 접촉부 178 이고 변압기·비한류형 전력퓨즈·변압기 접촉부는 0건. 대조군 P4 는 비한류형 전력퓨즈 191개. 대표 층화표본 14장에서는 MOF 함체가 지배적. 다만 MOF 는 PT 와 CT 가 한 함체에 통합된 기기라 열화상에서 내부를 나눠 볼 수 없다. 기존 라벨 표본이 66장뿐이라 부재의 증거는 아니다. 선택지 3안은 DEC-009 참조 | [실증 2026-08-31] 1차 시험에서 라벨러가 실제로 막혔다 — 30장 중 Skip 12장의 9장이 MOF 계열(P4 7 · P3 2)이고 사유 other 8건이 전부 '변압기/변류기 구분 기준이 모호함'. 육안 확인 결과 **열화상 외형으로는 구분 불가**(MOF 는 PT·CT 통합 함체라 시각적 특징이 없다). 정본에서도 그 구분은 이루어지지 않았다 — 본체 변류기 189 vs 변압기 1(99.5%), 접촉부 219 vs 3(98.6%), P3 는 변압기 계열 0건. RGB 우회도 불가(P3 3.7% · P4 8.0%만 페어 보유). 라벨러가 못 하는 구분은 모델도 못 한다. 선택지 A~D 와 권고는 reports/data_audit/oq001_mof_visual_separability.md | DEC-021 결정: P3 에서 변압기 계열을 독립 라벨 대상으로 강제하지 않는다. '변류기로 통일'이 아니라 '라벨링하지 않는다' — 구분 불가능한 물체를 두 클래스 중 하나에 밀어넣지 않는다. 물리적 부재가 아니라 식별 불가에 따른 annotation 정책. 근거 3층: ①현장 담당자 의견(몰드PT 일반·오일PT 드묾) ②P3 정본 227박스 중 변압기 계열 0건 ③시험에서 P3 3장 전부가 이 문제에 걸림(2장 Skip · 1장은 후보 밖 클래스). P4 는 실제 라벨 차이(변압기 1·접촉부 3)가 있어 적용하지 않는다. 클래스 28개 무변경 — 반별 후보 정책만 변경 | [분리 2026-08-31] 이 문제는 NQ-12(작은 객체 하한)와 **다른 실패 모드**다. OQ-001 은 객체의 종류·의미를 구분할 수 있는가이고, NQ-12 는 종류는 알겠는데 크기가 라벨 가능한가이다. 교수님 보고에서 둘을 합치지 않는다",-,DEC-021,seed_composition,-,닫힘
OQ-002,반-클래스 매핑,P8-ACB반 5513장의 라벨 대상이 0종이다. 어떤 클래스를 후보에 추가할지 반 전체를 범위에서 뺄지,가이드 기준 ACB 접촉부는 제외 항목이라 라벨할 것이 없다,experiments/dedup/oq_probe/P8_sample_0~2.png (19개 세션에서 38장 층화표본),DEC-009 결정: 가이드 8 기준을 그대로 적용해 P10 과 동일 후보(콘덴서/MCCB/MCCB 접촉부/ACB 접촉부)를 쓴다. 클래스 스키마는 확장하지 않았다. 라벨 가능 클래스 0종 -> 3종,-,DEC-009,-,-,닫힘
OQ-003,클래스 데이터 확보,케이블헤드(#14) 인스턴스를 P2·P6만으로 충분히 확보할 수 있는가,주 출처였던 P11-CNCV반이 삭제됐고 기존 라벨은 0건이다,experiments/dedup/oq_probe/P2-LBSLA_rgb_0.png · P6-VCB_rgb_0~1.png,"DEC-009 결정: 케이블헤드(#14) 라벨링 대상 유지. P2 에 다수, P6 에도 실물 인스턴스 확인. P11 복구 불필요",-,DEC-009,-,-,닫힘
OQ-004,클래스 데이터 확보,SA(#17) 인스턴스를 P6-VCB반에서 확보할 수 있는가,v2 신규 항목이라 기존 라벨이 0건이며 P6 외에 후보 반이 없다,experiments/dedup/oq_probe/P6-VCB_rgb_0~1.png,DEC-009 결정: HOLD. P6 에서 가이드 기술과 일치하는 후보 개체 확인. 다만 P2 의 LA(#07)와 외형이 유사해 육안 확정 불가. STEP 10 후보 클래스로는 포함하되 표시를 유지한다,최종 라벨링 기준 확정,전문가 확인,labeling_rules,NO,열림(HOLD)
OQ-005,라벨링 규칙,잘림 30% 기준을 라벨러가 눈으로 추정할 때 편차를 어떻게 줄이는가,분모가 화면 좌표가 아니라 부품의 원래 면적이라 자동 계산식이 없다,schemas/labeling_rules.py VISIBLE_AREA_MIN · DEC-007,"측정으로 해소 예정 | [실증 2026-08-31] 잘림 판단 자체는 이번 사례에서 **결정 요인이 아니었다.** A 가 그리지 않은 상단 프레임 접촉 6건은 잘림 조건이 전부 동일(y0=0)한데 판정이 갈렸고, 갈린 축은 면적이었다(0.00258 이하는 빼기 · 0.00459는 그리기). 즉 작업자는 '몇 % 잘렸나'보다 '알아볼 만한 크기인가'로 먼저 판단했다. 잘림 30% 규칙의 라벨러 간 편차는 여전히 미측정 — 2명 이상 필요",STEP 12 일치도 검증,측정으로 해소,labeling_rules,NO,열림
OQ-006,라벨링 규칙,경계 규격서의 미확정 항목(접촉부 7종 단위·엘보·베이스 취부)을 어떻게 확정할 것인가,"규격서 5개 항목 중 18/25 클래스는 배포 가능하나, 라벨 실적이 없는 접촉부 7종과 전문가 확인 항목 2건은 여전히 비어 있다. 비운 채 배포하면 라벨러마다 다르게 판단한다",reports/labeling/bounding_box_boundary_spec.md · DEC-012~014,규격서 5개 항목 작성 (bounding_box_boundary_spec.md). 배포 가능: 케이블헤드 / 몰드변압기·변류기 접촉부 / MCCB 접촉부 / 잘림 / 중첩 / 작은객체(식별가능성). 배포 불가: 접촉부 7종(라벨 실적 0). 클래스별 annotation_unit 을 코드에 도입 (18/25 확정),STEP 11 시드셋 구성 착수 전,사람 작성,labeling_rules,NO,부분 확정 · 잔여 항목 대기
OQ-007,시드셋 설계,시드셋에서 IR1(RGB 페어 보유)을 얼마나 과대표집할지,IR1은 전체의 2.4%지만 페어율 99.7%로 교차 검증 가치가 크다,reports/decisions/DEC-010 · data/labeling/seed/seed_candidates.csv,STEP 10 에서는 층별 최원점 선택의 시작점 우선권만 부여했다. 결과 400장 중 IR1 36장 / RGB 페어 보유 44장. 과대표집 비율은 여전히 미결정,STEP 11 시드셋 구성,사람 판정,seed_composition,NO,열림
OQ-008,데이터 편중,P1-TR반이 전체의 42.9%다. 중복 제거 후에도 편중이 남으면 표본 상한을 걸 것인가,IR2·IR3 고정촬영분이 대부분이라 근접 중복률이 높을 것으로 보였다,reports/data_audit/dedup_summary.csv · DEC-008,STEP 08 결과: P1 축소율 65.6%로 다른 반과 비슷해 편중이 그대로 남았다. 독립 이미지 38957장 중 P1이 15746장(40.4%)으로 여전히 최대. 카메라별로는 IR1 축소 6.6% / IR2 72.2% / IR3 56.8%로 성격이 갈린다. 시드 표집에서 반과 카메라를 층으로 잡아야 한다 | STEP 10 조치: 비례 배분 대신 클래스 수요 역산으로 P1 비중을 40.4%에서 7.5%로 낮췄다 (DEC-010),-,DEC-010,-,-,닫힘
OQ-009,기존 라벨 품질,승계한 4177개 박스의 경계 품질을 재검수할 것인가,승계는 class id 변환만 검증했고 박스 품질 자체는 확인하지 않았다,DEC-016 · canonical_audit_summary/detail/class_audit.csv · experiments/data_audit/canonical/,"DEC-016 감사 완료(READ-ONLY). 제외 클래스·반 후보 클래스 위반 0건. 명백한 위반은 같은 클래스 중복 20건(0.48%)이며 전부 P1. CONTACT_POINT 2종은 규격과 일치(장당 중앙 3개). 초소형 candidate 238건은 공식 임계값이 없어 위반으로 세지 않음. 잘림 30%는 좌표만으로 전량 판정 불가(1,207건)",STEP 12 일치도 검증,사람 판정,canonical_label_quality,NO,감사완료·처리방침 대기
OQ-010,데이터 특성,열화상에 구워진 FLIR OSD(온도수치·컬러바·타임스탬프·측정박스)를 라벨링·학습에서 어떻게 다룰 것인가,OSD가 프레임의 상당 부분을 고정 위치로 덮고 있어 부품을 가리거나 박스 경계와 겹칠 수 있다,experiments/dedup/osd_heatmap.png · experiments/dedup/osd_mask_check.png · reports/data_audit/osd_overlap_measurement.md · osd_overlap_sweep.csv,"[정정] 기존에 기록한 OSD 영역 목록(네 귀퉁이)은 틀렸다. 마스크를 그려 확인하니 화면 중앙을 가로지르는 선은 오탐이 아니라 FLIR 측정영역 박스 테두리였다 (실측 x 0.106~0.884 · y 0.150~0.833). 테두리를 영역에 추가하자 모든 임계값에서 빈도 마스크의 100%가 OSD 영역 안에 들어왔다. 즉 OSD 는 가장자리에만 있지 않고 장면 한가운데를 지나간다. | 중첩 측정(정본 4,177박스/1,007장, 임계 0.30): OSD 픽셀이 하나라도 든 박스 2,994(71.7%)이지만 면적 5% 초과 49 · 10% 초과 8 · 25% 초과 0. 71.7%를 '오염률'로 읽으면 안 된다 — 큰 박스를 얇은 선이 스친 것이 대부분이다. 면적을 잃는 쪽은 접촉부 계열 작은 박스이고 최대 20.6%. 5% 초과 49박스는 전부 IR1 인데, 이는 카메라 특성이 아니라 정본 라벨 자체가 전부 IR1 이기 때문이다(OQ-017). IR2/IR3 의 OSD 중첩은 라벨이 없어 측정하지 못했다. | 한계: 빈도맵 표본 600장, 해상도 동일성 미확인(UNKNOWN), 온도정보 파괴 여부 미확인. 마스킹 여부·임계값·49박스 처리는 결정하지 않았다 | [잠정정책 2026-08-28 · DEC-019] OSD 마스킹은 보류(NO_MASKING). 면적 손실 5% 초과가 49박스(1.2%)·최대 20.6%로 작고, 1차 목표가 객체 라벨링이라 전처리를 먼저 고정할 이유가 없다. 71.7%는 오염률이 아니다. 마스킹 여부·임계값·49박스 처리는 여전히 미결정 | [정정 2026-08-31] 시험에서 '컬러바에 가려짐'으로 분류했던 3건은 확대 확인 결과 **OSD 가 가린 것이 아니었다.** 선언된 '우측 컬러바' 영역이 x>=0.8375 로 실제 컬러바(x>=0.955)보다 훨씬 넓어 좌표만으로 오분류한 것이다. 해당 박스들은 컬러바 왼쪽에서 부품이 그대로 보이며 사람 판정도 '그려야 함'이었다. **선언된 OSD 영역은 후보 영역이지 가림 증거가 아니다** — 중첩 측정치를 읽을 때 같은 주의가 필요하다",STEP 11 시드셋 구성,사람 판정,preprocessing_and_model_input,NO,조사완료·판정대기
