guide_no,class_id,class_name,canonical_name,label_status,mark,basis,annotation_unit,unit_confirmed,unit_basis,panels,aliases,notes
1,0,core_iron,철심부,주의,!,배전반 내 위치때문에 잘 안보임,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P1,,
2,1,epoxy_surface,에폭시 표면,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P1,,
3,2,mold_tr_contact,몰드변압기 접촉부,가공,O,가이드 비고 없음 — 기본 가공대상,CONTACT_POINT,Y,"정본 P1 1,365박스 · 접촉부/본체 세로비 중앙 0.462 (DEC-014)",P1,,
4,3,lbs,LBS,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P2,,
5,4,lbs_primary,LBS 1차측 접촉부,가공,O,가이드 비고 없음 — 기본 가공대상,UNKNOWN,N,정본·참고 모두 라벨 실적 0건 (NQ-13),P2,,v1 보류 -> v2 가공대상 전환
6,5,cl_power_fuse,한류형 전력퓨즈,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P2,전력퓨즈,LBS&LA 반. 퓨즈 3종은 형태로 구분한다
7,6,la,LA,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P2,,
8,7,transformer,변압기,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P4,,
9,8,ct_transformer,변류기,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P3 P4,분류기,v1 '분류기' 명칭 정정
10,9,ncl_power_fuse,비한류형 전력퓨즈,가공,O,가이드 비고 없음 — 기본 가공대상,WHOLE_OBJECT,Y,부품 단위가 자명 — 별도 근거 불요 (DEC-015),P3 P4,전력퓨즈 | MOF 1차측 전력퓨즈,MOF&PT 반
